State,	County,	BA Climate Zone,	IECC Climate Zone,	IECC Moisture Regime
AL,	Lawrence,	Mixed-Humid,	3,	A
AL,	Lee,	Mixed-Humid,	3,	A
AL,	Limestone,	Mixed-Humid,	3,	A
AL,	Lowndes,	Hot-Humid,	3,	A
AL,	Macon,	Hot-Humid,	3,	A
AL,	Madison,	Mixed-Humid,	3,	A
AL,	Marengo,	Hot-Humid,	3,	A
AL,	Marion,	Mixed-Humid,	3,	A
AL,	Marshall,	Mixed-Humid,	3,	A
AL,	Mobile,	Hot-Humid,	2,	A
AL,	Monroe,	Hot-Humid,	3,	A
AL,	Montgomery,	Hot-Humid,	3,	A
AL,	Morgan,	Mixed-Humid,	3,	A
AL,	Perry,	Hot-Humid,	3,	A
AL,	Pickens,	Mixed-Humid,	3,	A
AL,	Pike,	Hot-Humid,	3,	A
AL,	Randolph,	Mixed-Humid,	3,	A
AL,	Russell,	Hot-Humid,	3,	A
AL,	Shelby,	Mixed-Humid,	3,	A
AL,	St. Clair,	Mixed-Humid,	3,	A
AL,	Sumter,	Mixed-Humid,	3,	A
AL,	Talladega,	Mixed-Humid,	3,	A
AL,	Tallapoosa,	Mixed-Humid,	3,	A
AL,	Tuscaloosa,	Mixed-Humid,	3,	A
AL,	Walker,	Mixed-Humid,	3,	A
AL,	Washington,	Hot-Humid,	3,	A
AL,	Wilcox,	Hot-Humid,	3,	A
AL,	Winston,	Mixed-Humid,	3,	A
AK,	Aleutians East,	Very Cold,	7,	N/A
AK,	Aleutians West (CA*),	Very Cold,	7,	N/A
AK,	Anchorage,	Very Cold,	7,	N/A
AK,	Bethel (CA),	Subarctic,	8,	N/A
AK,	Bristol Bay,	Very Cold,	7,	N/A
AK,	Denali,	Very Cold,	7,	N/A
AK,	Dillingham (CA),	Subarctic,	8,	N/A
AK,	Fairbanks North Star,	Subarctic,	8,	N/A
AK,	Haines,	Very Cold,	7,	N/A
AK,	Juneau,	Very Cold,	7,	N/A
AK,	Kenai Peninsula,	Very Cold,	7,	N/A
AK,	Ketchikan Gateway,	Very Cold,	7,	N/A
AK,	Kodiak Island,	Very Cold,	7,	N/A
AK,	Lake and Peninsula,	Very Cold,	7,	N/A
AK,	Matanuska-Susitna,	Very Cold,	7,	N/A
AK,	Nome (CA),	Subarctic,	8,	N/A
AK,	North Slope,	Subarctic,	8,	N/A
AK,	Northwest Arctic,	Subarctic,	8,	N/A
AK,	Prince of Wales- Outer Ketchikan (CA),	Very Cold,	7,	N/A
AK,	Sitka,	Very Cold,	7,	N/A
AK,	Skagway-Hoonah- Angoon (CA),	Very Cold,	7,	N/A
AK,	Southeast Fair- banks (CA),	Subarctic,	8,	N/A
AK,	Valdez-Cordova (CA),	Very Cold,	7,	N/A
AK,	Wade Hampton (CA),	Subarctic,	8,	N/A
AK,	Wrangell-Pe- tersburg (CA),	Very Cold,	7,	N/A
AK,	Yakutat,	Very Cold,	7,	N/A
AK,	Yukon-Koyukuk (CA),	Subarctic,	8,	N/A
AZ,	Apache,	Cold,	5,	B
AZ,	Cochise,	Hot-Dry,	3,	B
AZ,	Coconino,	Cold,	5,	B
AZ,	Gila,	Mixed-Dry,	4,	B
AZ,	Graham,	Hot-Dry,	3,	B
AZ,	Greenlee,	Hot-Dry,	3,	B
AZ,	La Paz,	Hot-Dry,	2,	B
AZ,	Maricopa,	Hot-Dry,	2,	B
AZ,	Mohave,	Hot-Dry,	3,	B
AZ,	Navajo,	Cold,	5,	B
AZ,	Pima,	Hot-Dry,	2,	B
AZ,	Pinal,	Hot-Dry,	2,	B
AZ,	Santa Cruz,	Hot-Dry,	3,	B
AZ,	Yavapai,	Mixed-Dry,	4,	B
AZ,	Yuma,	Hot-Dry,	2,	B
AR,	Arkansas,	Mixed-Humid,	3,	A
AR,	Ashley,	Mixed-Humid,	3,	A
AR,	Baxter,	Mixed-Humid,	4,	A
AR,	Benton,	Mixed-Humid,	4,	A
AR,	Boone,	Mixed-Humid,	4,	A
AR,	Bradley,	Mixed-Humid,	3,	A
AR,	Calhoun,	Mixed-Humid,	3,	A
AR,	Carroll,	Mixed-Humid,	4,	A
AR,	Chicot,	Mixed-Humid,	3,	A
AR,	Clark,	Mixed-Humid,	3,	A
AR,	Clay,	Mixed-Humid,	3,	A
AR,	Cleburne,	Mixed-Humid,	3,	A
AR,	Cleveland,	Mixed-Humid,	3,	A
AR,	Columbia,	Hot-Humid,	3,	A
AR,	Conway,	Mixed-Humid,	3,	A
AR,	Craighead,	Mixed-Humid,	3,	A
AR,	Crawford,	Mixed-Humid,	3,	A
AR,	Crittenden,	Mixed-Humid,	3,	A
AR,	Cross,	Mixed-Humid,	3,	A
AR,	Dallas,	Mixed-Humid,	3,	A
AR,	Desha,	Mixed-Humid,	3,	A
AR,	Drew,	Mixed-Humid,	3,	A
AR,	Faulkner,	Mixed-Humid,	3,	A
AR,	Franklin,	Mixed-Humid,	3,	A
AR,	Fulton,	Mixed-Humid,	4,	A
AR,	Garland,	Mixed-Humid,	3,	A
AR,	Grant,	Mixed-Humid,	3,	A
AR,	Greene,	Mixed-Humid,	3,	A
AR,	Hempstead,	Mixed-Humid,	3,	A
AR,	Hot Spring,	Mixed-Humid,	3,	A
AR,	Howard,	Mixed-Humid,	3,	A
AR,	Independence,	Mixed-Humid,	3,	A
AR,	Izard,	Mixed-Humid,	4,	A
AR,	Jackson,	Mixed-Humid,	3,	A
AR,	Jefferson,	Mixed-Humid,	3,	A
AR,	Johnson,	Mixed-Humid,	3,	A
AR,	Lafayette,	Hot-Humid,	3,	A
AR,	Lawrence,	Mixed-Humid,	3,	A
AR,	Lee,	Mixed-Humid,	3,	A
AR,	Lincoln,	Mixed-Humid,	3,	A
AR,	Little River,	Hot-Humid,	3,	A
AR,	Logan,	Mixed-Humid,	3,	A
AR,	Lonoke,	Mixed-Humid,	3,	A
AR,	Madison,	Mixed-Humid,	4,	A
AR,	Marion,	Mixed-Humid,	4,	A
AR,	Miller,	Hot-Humid,	3,	A
AR,	Mississippi,	Mixed-Humid,	3,	A
AR,	Monroe,	Mixed-Humid,	3,	A
AR,	Montgomery,	Mixed-Humid,	3,	A
AR,	Nevada,	Mixed-Humid,	3,	A
AR,	Newton,	Mixed-Humid,	4,	A
AR,	Ouachita,	Mixed-Humid,	3,	A
AR,	Perry,	Mixed-Humid,	3,	A
AR,	Phillips,	Mixed-Humid,	3,	A
AR,	Pike,	Mixed-Humid,	3,	A
AR,	Poinsett,	Mixed-Humid,	3,	A
AR,	Polk,	Mixed-Humid,	3,	A
AR,	Pope,	Mixed-Humid,	3,	A
AR,	Prairie,	Mixed-Humid,	3,	A
AR,	Pulaski,	Mixed-Humid,	3,	A
AR,	Randolph,	Mixed-Humid,	3,	A
AR,	Saline,	Mixed-Humid,	3,	A
AR,	Scott,	Mixed-Humid,	3,	A
AR,	Searcy,	Mixed-Humid,	4,	A
AR,	Sebastian,	Mixed-Humid,	3,	A
AR,	Sevier,	Mixed-Humid,	3,	A
AR,	Sharp,	Mixed-Humid,	3,	A
AR,	St. Francis,	Mixed-Humid,	3,	A
AR,	Stone,	Mixed-Humid,	4,	A
AR,	Union,	Hot-Humid,	3,	A
AR,	Van Buren,	Mixed-Humid,	3,	A
AR,	Washington,	Mixed-Humid,	4,	A
AR,	White,	Mixed-Humid,	3,	A
AR,	Woodruff,	Mixed-Humid,	3,	A
AR,	Yell,	Mixed-Humid,	3,	A
CA,	Alameda,	Marine,	3,	C
CA,	Alpine,	Cold,	6,	B
CA,	Amador,	Mixed-Dry,	4,	B
CA,	Butte,	Hot-Dry,	3,	B
CA,	Calaveras,	Mixed-Dry,	4,	B
CA,	Colusa,	Hot-Dry,	3,	B
CA,	Contra Costa,	Hot-Dry,	3,	B
CA,	Del Norte,	Marine,	4,	C
CA,	El Dorado,	Mixed-Dry,	4,	B
CA,	Fresno,	Hot-Dry,	3,	B
CA,	Glenn,	Hot-Dry,	3,	B
CA,	Humboldt,	Marine,	4,	C
CA,	Imperial,	Hot-Dry,	2,	B
CA,	Inyo,	Mixed-Dry,	4,	B
CA,	Kern,	Hot-Dry,	3,	B
CA,	Kings,	Hot-Dry,	3,	B
CA,	Lake,	Mixed-Dry,	4,	B
CA,	Lassen,	Cold,	5,	B
CA,	Los Angeles,	Hot-Dry,	3,	B
CA,	Madera,	Hot-Dry,	3,	B
CA,	Marin,	Marine,	3,	C
CA,	Mariposa,	Mixed-Dry,	4,	B
CA,	Mendocino,	Marine,	3,	C
CA,	Merced,	Hot-Dry,	3,	B
CA,	Modoc,	Cold,	5,	B
CA,	Mono,	Cold,	6,	B
CA,	Monterey,	Marine,	3,	C
CA,	Napa,	Marine,	3,	C
CA,	Nevada,	Cold,	5,	B
CA,	Orange,	Hot-Dry,	3,	B
CA,	Placer,	Hot-Dry,	3,	B
CA,	Plumas,	Cold,	5,	B
CA,	Riverside,	Hot-Dry,	3,	B
CA,	Sacramento,	Hot-Dry,	3,	B
CA,	San Benito,	Marine,	3,	C
CA,	San Bernardino,	Hot-Dry,	3,	B
CA,	San Diego,	Hot-Dry,	3,	B
CA,	San Francisco,	Marine,	3,	C
CA,	San Joaquin,	Hot-Dry,	3,	B
CA,	San Luis Obispo,	Marine,	3,	C
CA,	San Mateo,	Marine,	3,	C
CA,	Santa Barbara,	Marine,	3,	C
CA,	Santa Clara,	Marine,	3,	C
CA,	Santa Cruz,	Marine,	3,	C
CA,	Shasta,	Hot-Dry,	3,	B
CA,	Sierra,	Cold,	5,	B
CA,	Siskiyou,	Cold,	5,	B
CA,	Solano,	Hot-Dry,	3,	B
CA,	Sonoma,	Marine,	3,	C
CA,	Stanislaus,	Hot-Dry,	3,	B
CA,	Sutter,	Hot-Dry,	3,	B
CA,	Tehama,	Hot-Dry,	3,	B
CA,	Trinity,	Mixed-Dry,	4,	B
CA,	Tulare,	Hot-Dry,	3,	B
CA,	Tuolumne,	Mixed-Dry,	4,	B
CA,	Ventura,	Marine,	3,	C
CA,	Yolo,	Hot-Dry,	3,	B
CA,	Yuba,	Hot-Dry,	3,	B
CO,	Adams,	Cold,	5,	B
CO,	Alamosa,	Cold,	6,	B
CO,	Arapahoe,	Cold,	5,	B
CO,	Archuleta,	Cold,	6,	B
CO,	Baca,	Mixed-Dry,	4,	B
CO,	Bent,	Cold,	5,	B
CO,	Boulder,	Cold,	5,	B
CO,	Broomfield,	Cold,	5,	B
CO,	Chaffee,	Cold,	6,	B
CO,	Cheyenne,	Cold,	5,	B
CO,	Clear Creek,	Very Cold,	7,	B
CO,	Conejos,	Cold,	6,	B
CO,	Costilla,	Cold,	6,	B
CO,	Crowley,	Cold,	5,	B
CO,	Custer,	Cold,	6,	B
CO,	Delta,	Cold,	5,	B
CO,	Denver,	Cold,	5,	B
CO,	Dolores,	Cold,	6,	B
CO,	Douglas,	Cold,	5,	B
CO,	Eagle,	Cold,	6,	B
CO,	El Paso,	Cold,	5,	B
CO,	Elbert,	Cold,	5,	B
CO,	Fremont,	Cold,	5,	B
CO,	Garfield,	Cold,	5,	B
CO,	Gilpin,	Cold,	5,	B
CO,	Grand,	Very Cold,	7,	B
CO,	Gunnison,	Very Cold,	7,	B
CO,	Hinsdale,	Very Cold,	7,	B
CO,	Huerfano,	Cold,	5,	B
CO,	Jackson,	Very Cold,	7,	B
CO,	Jefferson,	Cold,	5,	B
CO,	Kiowa,	Cold,	5,	B
CO,	Kit Carson,	Cold,	5,	B
CO,	La Plata,	Cold,	5,	B
CO,	Lake,	Very Cold,	7,	B
CO,	Larimer,	Cold,	5,	B
CO,	Las Animas,	Mixed-Dry,	4,	B
CO,	Lincoln,	Cold,	5,	B
CO,	Logan,	Cold,	5,	B
CO,	Mesa,	Cold,	5,	B
CO,	Mineral,	Very Cold,	7,	B
CO,	Moffat,	Cold,	6,	B
CO,	Montezuma,	Cold,	5,	B
CO,	Montrose,	Cold,	5,	B
CO,	Morgan,	Cold,	5,	B
CO,	Otero,	Mixed-Dry,	4,	B
CO,	Ouray,	Cold,	6,	B
CO,	Park,	Very Cold,	7,	B
CO,	Phillips,	Cold,	5,	B
CO,	Pitkin,	Very Cold,	7,	B
CO,	Prowers,	Cold,	5,	B
CO,	Pueblo,	Cold,	5,	B
CO,	Rio Blanco,	Cold,	6,	B
CO,	Rio Grande,	Very Cold,	7,	B
CO,	Routt,	Very Cold,	7,	B
CO,	Saguache,	Cold,	6,	B
CO,	San Juan,	Very Cold,	7,	B
CO,	San Miguel,	Cold,	6,	B
CO,	Sedgwick,	Cold,	5,	B
CO,	Summit,	Very Cold,	7,	B
CO,	Teller,	Cold,	5,	B
CO,	Washington,	Cold,	5,	B
CO,	Weld,	Cold,	5,	B
CO,	Yuma,	Cold,	5,	B
CT,	Fairfield,	Cold,	5,	A
CT,	Hartford,	Cold,	5,	A
CT,	Litchfield,	Cold,	5,	A
CT,	Middlesex,	Cold,	5,	A
CT,	New Haven,	Cold,	5,	A
CT,	New London,	Cold,	5,	A
CT,	Tolland,	Cold,	5,	A
CT,	Windham,	Cold,	5,	A
DE,	Kent,	Mixed-Humid,	4,	A
DE,	New Castle,	Mixed-Humid,	4,	A
DE,	Sussex,	Mixed-Humid,	4,	A
DC,	District of Columbia,	Mixed-Humid,	4,	A
FL,	Alachua,	Hot-Humid,	2,	A
FL,	Baker,	Hot-Humid,	2,	A
FL,	Bay,	Hot-Humid,	2,	A
FL,	Bradford,	Hot-Humid,	2,	A
FL,	Brevard,	Hot-Humid,	2,	A
FL,	Broward,	Hot-Humid,	1,	A
FL,	Calhoun,	Hot-Humid,	2,	A
FL,	Charlotte,	Hot-Humid,	2,	A
FL,	Citrus,	Hot-Humid,	2,	A
FL,	Clay,	Hot-Humid,	2,	A
FL,	Collier,	Hot-Humid,	2,	A
FL,	Columbia,	Hot-Humid,	2,	A
FL,	DeSoto,	Hot-Humid,	2,	A
FL,	Dixie,	Hot-Humid,	2,	A
FL,	Duval,	Hot-Humid,	2,	A
FL,	Escambia,	Hot-Humid,	2,	A
FL,	Flagler,	Hot-Humid,	2,	A
FL,	Franklin,	Hot-Humid,	2,	A
FL,	Gadsden,	Hot-Humid,	2,	A
FL,	Gilchrist,	Hot-Humid,	2,	A
FL,	Glades,	Hot-Humid,	2,	A
FL,	Gulf,	Hot-Humid,	2,	A
FL,	Hamilton,	Hot-Humid,	2,	A
FL,	Hardee,	Hot-Humid,	2,	A
FL,	Hendry,	Hot-Humid,	2,	A
FL,	Hernando,	Hot-Humid,	2,	A
FL,	Highlands,	Hot-Humid,	2,	A
FL,	Hillsborough,	Hot-Humid,	2,	A
FL,	Holmes,	Hot-Humid,	2,	A
FL,	Indian River,	Hot-Humid,	2,	A
FL,	Jackson,	Hot-Humid,	2,	A
FL,	Jefferson,	Hot-Humid,	2,	A
FL,	Lafayette,	Hot-Humid,	2,	A
FL,	Lake,	Hot-Humid,	2,	A
FL,	Lee,	Hot-Humid,	2,	A
FL,	Leon,	Hot-Humid,	2,	A
FL,	Levy,	Hot-Humid,	2,	A
FL,	Liberty,	Hot-Humid,	2,	A
FL,	Madison,	Hot-Humid,	2,	A
FL,	Manatee,	Hot-Humid,	2,	A
FL,	Marion,	Hot-Humid,	2,	A
FL,	Martin,	Hot-Humid,	2,	A
FL,	Miami-Dade,	Hot-Humid,	1,	A
FL,	Monroe,	Hot-Humid,	1,	A
FL,	Nassau,	Hot-Humid,	2,	A
FL,	Okaloosa,	Hot-Humid,	2,	A
FL,	Okeechobee,	Hot-Humid,	2,	A
FL,	Orange,	Hot-Humid,	2,	A
FL,	Osceola,	Hot-Humid,	2,	A
FL,	Palm Beach,	Hot-Humid,	2,	A
FL,	Pasco,	Hot-Humid,	2,	A
FL,	Pinellas,	Hot-Humid,	2,	A
FL,	Polk,	Hot-Humid,	2,	A
FL,	Putnam,	Hot-Humid,	2,	A
FL,	Santa Rosa,	Hot-Humid,	2,	A
FL,	Sarasota,	Hot-Humid,	2,	A
FL,	Seminole,	Hot-Humid,	2,	A
FL,	St. Johns,	Hot-Humid,	2,	A
FL,	St. Lucie,	Hot-Humid,	2,	A
FL,	Sumter,	Hot-Humid,	2,	A
FL,	Suwannee,	Hot-Humid,	2,	A
FL,	Taylor,	Hot-Humid,	2,	A
FL,	Union,	Hot-Humid,	2,	A
FL,	Volusia,	Hot-Humid,	2,	A
FL,	Wakulla,	Hot-Humid,	2,	A
FL,	Walton,	Hot-Humid,	2,	A
FL,	Washington,	Hot-Humid,	2,	A
GA,	Appling,	Hot-Humid,	2,	A
GA,	Atkinson,	Hot-Humid,	2,	A
GA,	Bacon,	Hot-Humid,	2,	A
GA,	Baker,	Hot-Humid,	2,	A
GA,	Baldwin,	Mixed-Humid,	3,	A
GA,	Banks,	Mixed-Humid,	4,	A
GA,	Barrow,	Mixed-Humid,	3,	A
GA,	Bartow,	Mixed-Humid,	3,	A
GA,	Ben Hill,	Hot-Humid,	3,	A
GA,	Berrien,	Hot-Humid,	2,	A
GA,	Bibb,	Mixed-Humid,	3,	A
GA,	Bleckley,	Hot-Humid,	3,	A
GA,	Brantley,	Hot-Humid,	2,	A
GA,	Brooks,	Hot-Humid,	2,	A
GA,	Bryan,	Hot-Humid,	2,	A
GA,	Bulloch,	Hot-Humid,	3,	A
GA,	Burke,	Mixed-Humid,	3,	A
GA,	Butts,	Mixed-Humid,	3,	A
GA,	Calhoun,	Hot-Humid,	3,	A
GA,	Camden,	Hot-Humid,	2,	A
GA,	Candler,	Hot-Humid,	3,	A
GA,	Carroll,	Mixed-Humid,	3,	A
GA,	Catoosa,	Mixed-Humid,	4,	A
GA,	Charlton,	Hot-Humid,	2,	A
GA,	Chatham,	Hot-Humid,	2,	A
GA,	Chattahoochee,	Hot-Humid,	3,	A
GA,	Chattooga,	Mixed-Humid,	4,	A
GA,	Cherokee,	Mixed-Humid,	3,	A
GA,	Clarke,	Mixed-Humid,	3,	A
GA,	Clay,	Hot-Humid,	3,	A
GA,	Clayton,	Mixed-Humid,	3,	A
GA,	Clinch,	Hot-Humid,	2,	A
GA,	Cobb,	Mixed-Humid,	3,	A
GA,	Coffee,	Hot-Humid,	3,	A
GA,	Colquitt,	Hot-Humid,	2,	A
GA,	Columbia,	Mixed-Humid,	3,	A
GA,	Cook,	Hot-Humid,	2,	A
GA,	Coweta,	Mixed-Humid,	3,	A
GA,	Crawford,	Mixed-Humid,	3,	A
GA,	Crisp,	Hot-Humid,	3,	A
GA,	Dade,	Mixed-Humid,	4,	A
GA,	Dawson,	Mixed-Humid,	4,	A
GA,	Decatur,	Hot-Humid,	2,	A
GA,	DeKalb,	Mixed-Humid,	3,	A
GA,	Dodge,	Hot-Humid,	3,	A
GA,	Dooly,	Hot-Humid,	3,	A
GA,	Dougherty,	Hot-Humid,	3,	A
GA,	Douglas,	Mixed-Humid,	3,	A
GA,	Early,	Hot-Humid,	3,	A
GA,	Echols,	Hot-Humid,	2,	A
GA,	Effingham,	Hot-Humid,	2,	A
GA,	Elbert,	Mixed-Humid,	3,	A
GA,	Emanuel,	Hot-Humid,	3,	A
GA,	Evans,	Hot-Humid,	2,	A
GA,	Fannin,	Mixed-Humid,	4,	A
GA,	Fayette,	Mixed-Humid,	3,	A
GA,	Floyd,	Mixed-Humid,	4,	A
GA,	Forsyth,	Mixed-Humid,	3,	A
GA,	Franklin,	Mixed-Humid,	4,	A
GA,	Fulton,	Mixed-Humid,	3,	A
GA,	Gilmer,	Mixed-Humid,	4,	A
GA,	Glascock,	Mixed-Humid,	3,	A
GA,	Glynn,	Hot-Humid,	2,	A
GA,	Gordon,	Mixed-Humid,	4,	A
GA,	Grady,	Hot-Humid,	2,	A
GA,	Greene,	Mixed-Humid,	3,	A
GA,	Gwinnett,	Mixed-Humid,	3,	A
GA,	Habersham,	Mixed-Humid,	4,	A
GA,	Hall,	Mixed-Humid,	4,	A
GA,	Hancock,	Mixed-Humid,	3,	A
GA,	Haralson,	Mixed-Humid,	3,	A
GA,	Harris,	Mixed-Humid,	3,	A
GA,	Hart,	Mixed-Humid,	3,	A
GA,	Heard,	Mixed-Humid,	3,	A
GA,	Henry,	Mixed-Humid,	3,	A
GA,	Houston,	Hot-Humid,	3,	A
GA,	Irwin,	Hot-Humid,	3,	A
GA,	Jackson,	Mixed-Humid,	3,	A
GA,	Jasper,	Mixed-Humid,	3,	A
GA,	Jeff Davis,	Hot-Humid,	2,	A
GA,	Jefferson,	Mixed-Humid,	3,	A
GA,	Jenkins,	Hot-Humid,	3,	A
GA,	Johnson,	Hot-Humid,	3,	A
GA,	Jones,	Mixed-Humid,	3,	A
GA,	Lamar,	Mixed-Humid,	3,	A
GA,	Lanier,	Hot-Humid,	2,	A
GA,	Laurens,	Hot-Humid,	3,	A
GA,	Lee,	Hot-Humid,	3,	A
GA,	Liberty,	Hot-Humid,	2,	A
GA,	Lincoln,	Mixed-Humid,	3,	A
GA,	Long,	Hot-Humid,	2,	A
GA,	Lowndes,	Hot-Humid,	2,	A
GA,	Lumpkin,	Mixed-Humid,	4,	A
GA,	Macon,	Hot-Humid,	3,	A
GA,	Madison,	Mixed-Humid,	3,	A
GA,	Marion,	Hot-Humid,	3,	A
GA,	McDuffie,	Mixed-Humid,	3,	A
GA,	McIntosh,	Hot-Humid,	2,	A
GA,	Meriwether,	Mixed-Humid,	3,	A
GA,	Miller,	Hot-Humid,	2,	A
GA,	Mitchell,	Hot-Humid,	2,	A
GA,	Monroe,	Mixed-Humid,	3,	A
GA,	Montgomery,	Hot-Humid,	3,	A
GA,	Morgan,	Mixed-Humid,	3,	A
GA,	Murray,	Mixed-Humid,	4,	A
GA,	Muscogee,	Mixed-Humid,	3,	A
GA,	Newton,	Mixed-Humid,	3,	A
GA,	Oconee,	Mixed-Humid,	3,	A
GA,	Oglethorpe,	Mixed-Humid,	3,	A
GA,	Paulding,	Mixed-Humid,	3,	A
GA,	Peach,	Hot-Humid,	3,	A
GA,	Pickens,	Mixed-Humid,	4,	A
GA,	Pierce,	Hot-Humid,	2,	A
GA,	Pike,	Mixed-Humid,	3,	A
GA,	Polk,	Mixed-Humid,	3,	A
GA,	Pulaski,	Hot-Humid,	3,	A
GA,	Putnam,	Mixed-Humid,	3,	A
GA,	Quitman,	Hot-Humid,	3,	A
GA,	Rabun,	Mixed-Humid,	4,	A
GA,	Randolph,	Hot-Humid,	3,	A
GA,	Richmond,	Mixed-Humid,	3,	A
GA,	Rockdale,	Mixed-Humid,	3,	A
GA,	Schley,	Hot-Humid,	3,	A
GA,	Screven,	Hot-Humid,	3,	A
GA,	Seminole,	Hot-Humid,	2,	A
GA,	Spalding,	Mixed-Humid,	3,	A
GA,	Stephens,	Mixed-Humid,	4,	A
GA,	Stewart,	Hot-Humid,	3,	A
GA,	Sumter,	Hot-Humid,	3,	A
GA,	Talbot,	Mixed-Humid,	3,	A
GA,	Taliaferro,	Mixed-Humid,	3,	A
GA,	Tattnall,	Hot-Humid,	2,	A
GA,	Taylor,	Hot-Humid,	3,	A
GA,	Telfair,	Hot-Humid,	3,	A
GA,	Terrell,	Hot-Humid,	3,	A
GA,	Thomas,	Hot-Humid,	2,	A
GA,	Tift,	Hot-Humid,	3,	A
GA,	Toombs,	Hot-Humid,	2,	A
GA,	Towns,	Mixed-Humid,	4,	A
GA,	Treutlen,	Hot-Humid,	3,	A
GA,	Troup,	Mixed-Humid,	3,	A
GA,	Turner,	Hot-Humid,	3,	A
GA,	Twiggs,	Hot-Humid,	3,	A
GA,	Union,	Mixed-Humid,	4,	A
GA,	Upson,	Mixed-Humid,	3,	A
GA,	Walker,	Mixed-Humid,	4,	A
GA,	Walton,	Mixed-Humid,	3,	A
GA,	Ware,	Hot-Humid,	2,	A
GA,	Warren,	Mixed-Humid,	3,	A
GA,	Washington,	Mixed-Humid,	3,	A
GA,	Wayne,	Hot-Humid,	2,	A
GA,	Webster,	Hot-Humid,	3,	A
GA,	Wheeler,	Hot-Humid,	3,	A
GA,	White,	Mixed-Humid,	4,	A
GA,	Whitfield,	Mixed-Humid,	4,	A
GA,	Wilcox,	Hot-Humid,	3,	A
GA,	Wilkes,	Mixed-Humid,	3,	A
GA,	Wilkinson,	Mixed-Humid,	3,	A
GA,	Worth,	Hot-Humid,	3,	A
HI,	Hawaii,	Hot-Humid,	1,	A
HI,	Honolulu,	Hot-Humid,	1,	A
HI,	Kalawao,	Hot-Humid,	1,	A
HI,	Kauai,	Hot-Humid,	1,	A
HI,	Maui,	Hot-Humid,	1,	A
ID,	Ada,	Cold,	5,	B
ID,	Adams,	Cold,	6,	B
ID,	Bannock,	Cold,	6,	B
ID,	Bear Lake,	Cold,	6,	B
ID,	Benewah,	Cold,	5,	B
ID,	Bingham,	Cold,	6,	B
ID,	Blaine,	Cold,	6,	B
ID,	Boise,	Cold,	6,	B
ID,	Bonner,	Cold,	6,	B
ID,	Bonneville,	Cold,	6,	B
ID,	Boundary,	Cold,	6,	B
ID,	Butte,	Cold,	6,	B
ID,	Camas,	Cold,	6,	B
ID,	Canyon,	Cold,	5,	B
ID,	Caribou,	Cold,	6,	B
ID,	Cassia,	Cold,	5,	B
ID,	Clark,	Cold,	6,	B
ID,	Clearwater,	Cold,	5,	B
ID,	Custer,	Cold,	6,	B
ID,	Elmore,	Cold,	5,	B
ID,	Franklin,	Cold,	6,	B
ID,	Fremont,	Cold,	6,	B
ID,	Gem,	Cold,	5,	B
ID,	Gooding,	Cold,	5,	B
ID,	Idaho,	Cold,	5,	B
ID,	Jefferson,	Cold,	6,	B
ID,	Jerome,	Cold,	5,	B
ID,	Kootenai,	Cold,	5,	B
ID,	Latah,	Cold,	5,	B
ID,	Lemhi,	Cold,	6,	B
ID,	Lewis,	Cold,	5,	B
ID,	Lincoln,	Cold,	5,	B
ID,	Madison,	Cold,	6,	B
ID,	Minidoka,	Cold,	5,	B
ID,	Nez Perce,	Cold,	5,	B
